roll, pitch, yaw,nr,time
-151.44,-2.05,0.21,36,Tue Oct  3 19:48:38 2017
-151.45,-2.05,0.22,37,Tue Oct  3 19:48:38 2017
-151.42,-2.05,0.21,38,Tue Oct  3 19:48:38 2017
-151.44,-2.05,0.22,39,Tue Oct  3 19:48:38 2017
-151.44,-2.05,0.22,40,Tue Oct  3 19:48:38 2017
-151.44,-2.06,0.22,41,Tue Oct  3 19:48:38 2017
-151.45,-2.05,0.24,42,Tue Oct  3 19:48:38 2017
-151.46,-2.07,0.24,43,Tue Oct  3 19:48:38 2017
-151.44,-2.07,0.25,44,Tue Oct  3 19:48:38 2017
-151.46,-2.08,0.26,45,Tue Oct  3 19:48:39 2017
-151.47,-2.07,0.26,46,Tue Oct  3 19:48:39 2017
-151.45,-2.08,0.25,47,Tue Oct  3 19:48:39 2017
-151.46,-2.08,0.25,48,Tue Oct  3 19:48:39 2017
-151.44,-2.08,0.26,49,Tue Oct  3 19:48:39 2017
-155.49,-2.06,0.22,50,Tue Oct  3 19:48:39 2017
-158.26,-2.07,0.2,51,Tue Oct  3 19:48:39 2017
-151.28,-1.98,0.35,52,Tue Oct  3 19:48:39 2017
-151.58,-2.05,0.44,53,Tue Oct  3 19:48:39 2017
-151.5,-2.04,0.43,54,Tue Oct  3 19:48:39 2017
-151.51,-2.05,0.42,55,Tue Oct  3 19:48:39 2017
-151.52,-2.05,0.42,56,Tue Oct  3 19:48:39 2017
-151.54,-2.05,0.42,57,Tue Oct  3 19:48:39 2017
-151.55,-2.06,0.42,58,Tue Oct  3 19:48:39 2017
-151.6,-2.07,0.42,59,Tue Oct  3 19:48:39 2017
-151.57,-2.07,0.42,60,Tue Oct  3 19:48:39 2017
-151.68,-2.05,0.46,61,Tue Oct  3 19:48:39 2017
-148.25,-1.62,-2.87,62,Tue Oct  3 19:48:39 2017
-141.22,-1.05,-6.26,63,Tue Oct  3 19:48:39 2017
-139.43,-0.34,-8.53,64,Tue Oct  3 19:48:39 2017
-133.22,-0.37,-12.9,65,Tue Oct  3 19:48:40 2017
-127.4,-0.69,-4.06,66,Tue Oct  3 19:48:40 2017
-123.6,-3.64,0.32,67,Tue Oct  3 19:48:40 2017
-120.25,-13.12,1.9,68,Tue Oct  3 19:48:40 2017
-121.03,-23.14,4.69,69,Tue Oct  3 19:48:40 2017
-127.38,-30.11,11.32,70,Tue Oct  3 19:48:40 2017
-125.96,-22.33,13.58,71,Tue Oct  3 19:48:40 2017
-124.43,-4.51,9.3,72,Tue Oct  3 19:48:40 2017
-125.13,9.89,8.37,73,Tue Oct  3 19:48:40 2017
-126.0,19.15,7.08,74,Tue Oct  3 19:48:40 2017
-123.93,29.48,3.12,75,Tue Oct  3 19:48:40 2017
-127.13,34.56,-7.11,76,Tue Oct  3 19:48:40 2017
-138.6,38.8,330.91,77,Tue Oct  3 19:48:40 2017
-149.61,42.43,314.46,78,Tue Oct  3 19:48:40 2017
-169.48,47.06,288.73,79,Tue Oct  3 19:48:40 2017
173.71,47.0,265.87,80,Tue Oct  3 19:48:40 2017
